City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Rawson,AR,2021-03-04 05:25:29,-43.3002,-65.1023,61.99,92,87,13.24
152,Kruisfontein,ZA,2021-03-04 05:25:29,-34.0033,24.7314,63.0,93,0,2.33
153,Tuatapere,NZ,2021-03-04 05:25:30,-46.1333,167.6833,64.0,45,74,8.01
154,Atambua,ID,2021-03-04 05:25:30,-9.1061,124.8925,82.17,73,50,4.79
155,Tasiilaq,GL,2021-03-04 05:25:30,65.6145,-37.6368,32.0,80,90,9.22
156,Druzhba,UA,2021-03-04 05:25:30,52.0428,33.9453,28.85,96,0,14.88
157,Chuy,UY,2021-03-04 05:25:31,-33.6971,-53.4616,71.62,92,60,9.95
158,Margate,GB,2021-03-04 05:20:39,51.3813,1.3862,43.0,91,100,4.0
159,Las Cruces,US,2021-03-04 05:20:45,32.3123,-106.7783,61.0,20,9,7.65
160,Kaitangata,NZ,2021-03-04 05:25:31,-46.2817,169.8464,57.0,78,50,5.99
161,Avera,US,2021-03-04 05:25:32,33.194,-82.5271,41.0,77,1,3.44
162,Lebu,CL,2021-03-04 05:25:32,-37.6167,-73.65,60.03,89,0,14.61
163,Tautira,PF,2021-03-04 05:25:32,-17.7333,-149.15,82.4,83,40,6.91
164,Aripuana,BR,2021-03-04 05:24:29,-9.1667,-60.6333,71.65,99,100,1.77
165,Butaritari,KI,2021-03-04 05:25:33,3.0707,172.7902,81.57,81,29,18.79
166,Faanui,PF,2021-03-04 05:25:33,-16.4833,-151.75,83.01,72,100,9.33
167,Nhulunbuy,AU,2021-03-04 05:25:33,-12.2333,136.7667,91.4,62,40,9.22
168,Maningrida,AU,2021-03-04 05:25:33,-12.0667,134.2667,89.4,65,65,8.84
169,Chimbote,PE,2021-03-04 05:25:34,-9.0853,-78.5783,73.76,74,17,6.15
170,Longyearbyen,SJ,2021-03-04 05:25:34,78.2186,15.6401,5.0,61,20,11.5
171,Svetlyy,RU,2021-03-04 05:25:34,54.675,20.1347,35.6,93,75,8.95
172,Victoria,HK,2021-03-04 05:24:16,22.2855,114.1577,66.99,89,91,3.0
173,Gerede,TR,2021-03-04 05:25:35,40.8008,32.1969,26.33,87,0,2.68
174,Buala,SB,2021-03-04 05:25:35,-8.145,159.5921,81.19,79,100,8.34
175,Yangmei,CN,2021-03-04 05:25:35,24.1023,112.5618,63.36,86,92,2.48
176,Kampot,KH,2021-03-04 05:25:35,10.6167,104.1833,89.6,58,20,10.36
177,Phek,IN,2021-03-04 05:25:36,25.6667,94.5,73.72,25,3,2.64
178,George Town,MY,2021-03-04 05:24:59,5.4112,100.3354,91.0,62,20,6.91
179,Girona,ES,2021-03-04 05:24:55,41.9831,2.8249,46.99,100,75,3.44
180,Mabaruma,GY,2021-03-04 05:25:36,8.2,-59.7833,71.11,99,13,1.66
