City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Santa Maria,BR,-29.6842,-53.8069,61.41,83,0,3.94,clear sky
122,San Vicente,AR,-26.6167,-54.1333,61.65,90,0,2.42,clear sky
123,Anadyr,RU,64.75,177.4833,-7.6,77,75,11.18,snow
124,Matay,EG,28.419,30.7792,52.47,68,0,9.73,clear sky
125,Ponta Do Sol,PT,32.6667,-17.1,57.99,70,49,3.0,scattered clouds
126,Ayan,RU,56.45,138.1667,15.8,90,72,5.86,broken clouds
127,Zhigansk,RU,66.7697,123.3711,-6.83,89,100,9.4,overcast clouds
128,Padang,ID,-0.9492,100.3543,82.4,78,75,6.91,broken clouds
129,Nemuro,JP,43.3236,145.575,35.6,48,75,12.66,broken clouds
130,Kaeo,NZ,-35.1,173.7833,70.0,56,0,11.01,clear sky
131,Saldanha,ZA,-33.0117,17.9442,55.4,88,81,5.75,broken clouds
132,Port Alfred,ZA,-33.5906,26.891,66.99,89,40,3.0,scattered clouds
133,Marevo,RU,57.3146,32.0804,16.66,96,100,10.16,light snow
134,Biltine,TD,14.5333,20.9167,68.79,17,6,12.03,clear sky
135,Qaanaaq,GL,77.484,-69.3632,-12.95,65,2,7.67,clear sky
136,Bhunya,SZ,-26.55,31.0167,60.8,94,80,2.66,broken clouds
137,Fortuna,US,40.5982,-124.1573,44.01,93,1,4.61,clear sky
138,Hamilton,US,39.1834,-84.5333,35.01,64,1,2.66,clear sky
139,Cordoba,AR,-31.4135,-64.1811,73.99,94,0,9.22,clear sky
140,Vestmanna,FO,62.1564,-7.1664,41.0,100,75,4.61,broken clouds
141,Senno,RU,59.5336,33.9167,10.0,87,100,57.0,overcast clouds
142,Nsanje,MW,-16.92,35.262,72.01,89,87,0.94,overcast clouds
143,Nanortalik,GL,60.1432,-45.2371,30.36,93,100,17.13,light snow
144,Aklavik,CA,68.2191,-135.0107,-13.0,70,10,5.75,clear sky
145,Bethel,US,41.3712,-73.414,26.01,56,6,6.11,clear sky
146,Ilulissat,GL,69.2167,-51.1,15.8,73,20,8.05,few clouds
147,Umm Lajj,SA,25.0213,37.2685,73.63,60,0,6.87,clear sky
148,Nome,US,64.5011,-165.4064,32.0,93,90,40.29,snow
149,Bengkulu,ID,-3.8004,102.2655,79.2,87,98,13.62,overcast clouds
150,Peterhead,GB,57.5058,-1.7981,41.0,100,90,1.14,light rain
151,Clyde River,CA,70.4692,-68.5914,-20.2,76,1,5.82,clear sky
152,Homer,US,59.6425,-151.5483,26.6,63,1,6.91,clear sky
153,Mingaora,PK,34.7758,72.3625,65.55,34,13,3.8,few clouds
154,Muli,MV,2.9167,73.5667,82.83,72,14,7.29,few clouds
155,La Paz,BO,-16.5,-68.15,39.2,93,75,2.3,broken clouds
156,Tuatapere,NZ,-46.1333,167.6833,57.0,80,97,11.99,moderate rain
157,Nicoya,CR,10.1483,-85.452,78.8,47,0,13.8,clear sky
158,Vermilion,US,40.1667,-87.7506,46.0,60,1,3.44,clear sky
159,Victoria,HK,22.2855,114.1577,70.0,80,58,8.01,broken clouds
160,Tumut,AU,-35.3,148.2167,84.2,20,90,18.41,overcast clouds
161,Chara,RU,56.9064,118.2631,20.05,84,85,2.64,overcast clouds
162,Evensk,RU,61.95,159.2333,-16.42,78,27,2.19,scattered clouds
163,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,75,16.11,snow
164,Bentiu,SS,9.2333,29.8333,75.31,16,0,5.26,clear sky
165,Panama City,PA,8.9936,-79.5197,78.8,83,75,5.75,broken clouds
166,Koungou,YT,-12.7336,45.2042,78.8,89,90,2.3,moderate rain
167,Nueva Loja,EC,0.0847,-76.8828,69.4,99,100,1.19,moderate rain
168,Puerto Del Rosario,ES,28.5004,-13.8627,62.6,72,0,11.5,clear sky
169,Ostrovnoy,RU,68.0531,39.5131,-1.98,91,100,5.7,overcast clouds
170,Jacqueville,CI,5.2052,-4.4146,80.6,100,20,4.61,light rain
171,Nyurba,RU,63.2842,118.3319,17.55,96,98,3.0,overcast clouds
172,Bluff,NZ,-46.6,168.3333,57.0,80,91,11.99,moderate rain
173,Kavieng,PG,-2.5744,150.7967,81.86,78,100,10.11,moderate rain
174,Marawi,PH,7.9986,124.2928,82.0,81,75,7.0,broken clouds
175,Kumylzhenskaya,RU,49.8809,42.5898,33.01,81,97,18.01,overcast clouds
176,Phan Thiet,VN,10.9333,108.1,89.28,45,0,17.83,clear sky
